ipodsales ,ipodsalesst,ipodsalesst2
0.125,0.125,0.015625
0.062,0.187,0.034969
0.054,0.241,0.058081
0.14,0.381,0.145161
0.219,0.6,0.36
0.08,0.68,0.4624
0.304,0.984,0.968256
0.336,1.32,1.7424
0.733,2.053,4.214809
0.807,2.86,8.1796
0.86,3.72,13.8384
2.016,5.736,32.901696
4.58,10.316,106.419856
5.311,15.627,244.203129
6.155,21.782,474.455524
6.451,28.233,797.102289
14.043,42.276,1787.260176
8.526,50.802,2580.843204
8.111,58.913,3470.741569
8.729,67.642,4575.440164
21.066,88.708,7869.109264
10.549,99.257,9851.952049
9.815,109.072,11896.70118
10.2,119.272,14225.80998
22.121,141.393,19991.98045
10.644,152.037,23115.24937
11.011,163.048,26584.6503
11.052,174.1,30310.81
22.727,196.827,38740.86793
11.013,207.84,43197.4656
10.215,218.055,47547.98303
10.177,228.232,52089.84582
20.97,249.202,62101.6368
10.885,260.087,67645.24757
9.406,269.493,72626.47705
9.051,278.544,77586.75994
19.446,297.99,88798.0401
9.017,307.007,94253.29805
7.535,314.542,98936.66976
6.622,321.164,103146.3149
15.397,336.561,113273.3067
7.673,344.234,118497.0468
6.751,350.985,123190.4702
5.344,356.329,126970.3562
12.679,369.008,136166.9041
5.633,374.641,140355.8789
4.569,379.21,143800.2241
3.498,382.708,146465.4133
6.049,388.757,151132.005
2.761,391.518,153286.3443
2.926,394.444,155586.0691
2.641,397.085,157676.4972
